url,source,http_status,canonical,indexable,in_sitemap,page_type,country,primary_keyword,content_hash
https://courtiark.fr/,disque+sitemap,200,https://courtiark.fr/,oui,oui,FR,courtiark cockpit pour,02b96e2fb957ba38ed83cc50f1caefc7,89e6b774551499c4
https://courtiark.fr/a-propos,disque+sitemap,200,https://courtiark.fr/a-propos,oui,oui,FR,propos courtiark cockpit,aa42bde93f30178d3d09e2fca426a32f,52fbda76e13b11b8
https://courtiark.fr/assurances,disque+sitemap,200,https://courtiark.fr/assurances,oui,oui,FR,branches assurance courtiark,7cd86da799baf17db2fb578f7671301a,eb4e51e95e878641
https://courtiark.fr/assurances/assurance-auto,disque+sitemap,200,https://courtiark.fr/assurances/assurance-auto,oui,oui,FR,suivi dossiers assurance,85051313e9f31b937abb0d06e2469280,569366e33a358d99
https://courtiark.fr/assurances/multirisque-professionnelle,disque+sitemap,200,https://courtiark.fr/assurances/multirisque-professionnelle,oui,oui,FR,suivi dossiers multirisque,5f5fdf8d4269da8ec3cfea56c543303c,790cebc5cc430ce0
https://courtiark.fr/assurances/mutuelle-sante,disque+sitemap,200,https://courtiark.fr/assurances/mutuelle-sante,oui,oui,FR,suivi dossiers mutuelle,cbbd52d6bb6d84dfa673a8b36a39ba9e,0774e975c20a3fd2
https://courtiark.fr/assurances/prevoyance,disque+sitemap,200,https://courtiark.fr/assurances/prevoyance,oui,oui,FR,suivi dossiers voyance,c1d9b3ab30905c5d2706ea06ea63763e,c90435f64224a7ef
https://courtiark.fr/assurances/rc-pro,disque+sitemap,200,https://courtiark.fr/assurances/rc-pro,oui,oui,FR,suivi dossiers responsabilite,a007db194ded9f9dad103ac56f1d64e2,548617e65e68ba30
https://courtiark.fr/automatisation-courtier-assurance,disque+sitemap,200,https://courtiark.fr/automatisation-courtier-assurance,oui,oui,,,"Automatisation courtier assurance : ce qui est possible, ce ",accececeb478aeb8
https://courtiark.fr/ch,disque,200,https://courtiark.fr/ch,oui,non,,,Logiciel et CRM pour courtiers d'assurance en Suisse — COURT,eda613cf4cca7582
https://courtiark.fr/ch/automatisation-courtier-assurance-suisse,disque,200,https://courtiark.fr/ch/automatisation-courtier-assurance-suisse,oui,non,,,"Automatisation pour courtiers suisses : échéances, pièces, c",bfeb8079408c9a05
https://courtiark.fr/ch/conformite-intermediaire-assurance-lsa-finma,disque,200,https://courtiark.fr/ch/conformite-intermediaire-assurance-lsa-finma,oui,non,,,Conformité courtier d'assurance en Suisse : obligations LSA ,9c299585c188a53f
https://courtiark.fr/ch/crm-courtier-assurance-suisse,disque,200,https://courtiark.fr/ch/crm-courtier-assurance-suisse,oui,non,,,CRM pour courtier d'assurance en Suisse : le dossier client ,02bf0a5c9e87d0e0
https://courtiark.fr/ch/gestion-cabinet-courtage-suisse,disque,200,https://courtiark.fr/ch/gestion-cabinet-courtage-suisse,oui,non,,,Gestion d&#x27;un cabinet de courtage en Suisse — COURTIA,9fadd68262df1146
https://courtiark.fr/ch/gestion-commissions-courtier-assurance-suisse,disque,200,https://courtiark.fr/ch/gestion-commissions-courtier-assurance-suisse,oui,non,,,Gestion des commissions d'un courtier d'assurance en Suisse ,32525aba39047610
https://courtiark.fr/ch/gestion-documentaire-courtier-assurance-suisse,disque,200,https://courtiark.fr/ch/gestion-documentaire-courtier-assurance-suisse,oui,non,,,Gestion documentaire d&#x27;un courtier suisse : pièces et t,5453d38908682708
https://courtiark.fr/ch/gestion-portefeuille-assurance-suisse,disque,200,https://courtiark.fr/ch/gestion-portefeuille-assurance-suisse,oui,non,,,Gestion de portefeuille d'assurance en Suisse — contrats et ,d2dfccbbf778e8af
https://courtiark.fr/ch/glossaire,disque,200,https://courtiark.fr/ch/glossaire,oui,non,,,Glossaire suisse du courtage d&#x27;assurance — COURTIA,b12d631124dc6937
https://courtiark.fr/ch/ia-courtier-assurance-suisse,disque,200,https://courtiark.fr/ch/ia-courtier-assurance-suisse,oui,non,,,"IA pour courtier d'assurance en Suisse — ARK, l'assistance d",4be265f7e2f853f8
https://courtiark.fr/ch/import-portefeuille-courtier-assurance-suisse,disque,200,https://courtiark.fr/ch/import-portefeuille-courtier-assurance-suisse,oui,non,,,Changer de logiciel de courtage en Suisse : reprendre son po,56c77966879a3c7c
https://courtiark.fr/ch/logiciel-courtier-assurance-suisse,disque,200,https://courtiark.fr/ch/logiciel-courtier-assurance-suisse,oui,non,,,"Logiciel courtier assurance Suisse : dossier client, LSA, CH",56910eb7d1fe0679
https://courtiark.fr/ch/logiciel-devis-courtier-assurance-suisse,disque,200,https://courtiark.fr/ch/logiciel-devis-courtier-assurance-suisse,oui,non,,,Devis d'assurance en Suisse : produire et suivre ses proposi,c6012f3b2927f0d6
https://courtiark.fr/ch/logiciel-intermediaire-assurance-suisse,disque,200,https://courtiark.fr/ch/logiciel-intermediaire-assurance-suisse,oui,non,,,Logiciel pour intermédiaire d&#x27;assurance en Suisse — COU,5fcd4c6afb91c1d4
https://courtiark.fr/ch/logiciel-prospection-courtier-assurance-suisse,disque,200,https://courtiark.fr/ch/logiciel-prospection-courtier-assurance-suisse,oui,non,,,Logiciel de prospection pour courtier d'assurance en Suisse ,813b5362e8a27368
https://courtiark.fr/ch/nlpd-courtier-assurance,disque,200,https://courtiark.fr/ch/nlpd-courtier-assurance,oui,non,,,Données personnelles d&#x27;un courtier suisse : ce que la n,92c13da0f4549d64
https://courtiark.fr/ch/outils/calculateur-temps-administratif-suisse,disque,200,https://courtiark.fr/ch/outils/calculateur-temps-administratif-suisse,oui,non,,,Calculateur du temps administratif en Suisse (CHF) — COURTIA,95ab74a01460736c
https://courtiark.fr/ch/partenaires-apporteurs-courtier-assurance-suisse,disque,200,https://courtiark.fr/ch/partenaires-apporteurs-courtier-assurance-suisse,oui,non,,,Partenaires et apporteurs d&#x27;un cabinet suisse — COURTIA,c4620d9c83718919
https://courtiark.fr/ch/portail-client-assurance-suisse,disque,200,https://courtiark.fr/ch/portail-client-assurance-suisse,oui,non,,,Dépôt de pièces par le preneur d&#x27;assurance en Suisse — ,dcc873a2825e7a38
https://courtiark.fr/ch/relances-courtier-assurance-suisse,disque,200,https://courtiark.fr/ch/relances-courtier-assurance-suisse,oui,non,,,Relances et tâches pour courtier d'assurance en Suisse — COU,da56935426dca24b
https://courtiark.fr/ch/reporting-pilotage-courtier-assurance-suisse,disque,200,https://courtiark.fr/ch/reporting-pilotage-courtier-assurance-suisse,oui,non,,,Pilotage d&#x27;un cabinet de courtage suisse : indicateurs ,68ac5041e2da858a
https://courtiark.fr/ch/sinistres-courtier-assurance-suisse,disque,200,https://courtiark.fr/ch/sinistres-courtier-assurance-suisse,oui,non,,,Suivre un sinistre en Suisse — COURTIA,6f7ed666408e6dbc
https://courtiark.fr/ch/tarifs-logiciel-courtier-chf,disque,200,https://courtiark.fr/ch/tarifs-logiciel-courtier-chf,oui,non,,,Tarifs en CHF d'un logiciel de courtage d'assurance en Suiss,70ab6701bc7f7e5c
https://courtiark.fr/ch/workflows-courtier-assurance-suisse,disque,200,https://courtiark.fr/ch/workflows-courtier-assurance-suisse,oui,non,,,Processus pour courtiers en Suisse — COURTIA,065c3e4ff5447fa8
https://courtiark.fr/changelog,disque+sitemap,200,https://courtiark.fr/changelog,oui,oui,FR,journal modifications courtiark,fb4abb5628fd5873b53e51d0ae79392d,eb727e04e8116825
https://courtiark.fr/comparatifs,disque+sitemap,200,https://courtiark.fr/comparatifs,oui,oui,FR,comparatifs choisir outil,fd0bb140ca2e571a25f5ee753d636fd5,ea1c7998311ca580
